SpecName,nodes,edges,colours,coloursPerNode,NewSpec,OldSpec
tests/gcmulti_rand-10-10-8-2.param,10,10,8,2,0.68,0.98
tests/gcmulti_rand-10-10-10-3.param,10,10,10,3,0.62,1.05
tests/gcmulti_rand-10-10-10-4.param,10,10,10,4,60.0,60.0
tests/gcmulti_rand-10-10-10-2.param,10,10,10,2,0.73,1.38
tests/gcmulti_rand-10-10-10-3.param,10,10,10,3,0.67,1.16
tests/gcmulti_rand-10-10-10-4.param,10,10,10,4,60.0,60.01
tests/gcmulti_rand-10-15-8-2.param,10,15,8,2,0.67,1.1
tests/gcmulti_rand-10-15-10-3.param,10,15,10,3,0.67,1.29
tests/gcmulti_rand-10-15-10-4.param,10,15,10,4,3.12,2.57
tests/gcmulti_rand-10-15-10-2.param,10,15,10,2,0.67,1.21
tests/gcmulti_rand-10-15-10-3.param,10,15,10,3,0.67,1.22
tests/gcmulti_rand-10-15-10-4.param,10,15,10,4,0.72,1.21
tests/gcmulti_rand-10-20-8-2.param,10,20,8,2,0.62,1.16
tests/gcmulti_rand-10-20-10-3.param,10,20,10,3,0.67,1.37
tests/gcmulti_rand-10-20-10-4.param,10,20,10,4,0.68,1.28
tests/gcmulti_rand-10-20-10-2.param,10,20,10,2,0.68,1.32
tests/gcmulti_rand-10-20-10-3.param,10,20,10,3,0.67,60.0
tests/gcmulti_rand-10-20-10-4.param,10,20,10,4,0.72,1.37
tests/gcmulti_rand-10-25-8-2.param,10,25,8,2,0.67,1.36
tests/gcmulti_rand-10-25-10-3.param,10,25,10,3,0.82,1.54
tests/gcmulti_rand-10-25-10-4.param,10,25,10,4,0.67,1.58
tests/gcmulti_rand-10-25-10-2.param,10,25,10,2,0.67,1.74
tests/gcmulti_rand-10-25-10-3.param,10,25,10,3,2.07,3.22
tests/gcmulti_rand-10-25-10-4.param,10,25,10,4,0.73,1.74
tests/gcmulti_rand-10-30-8-2.param,10,30,8,2,0.68,1.39
tests/gcmulti_rand-10-30-10-3.param,10,30,10,3,0.68,11.57
tests/gcmulti_rand-10-30-10-4.param,10,30,10,4,0.67,1.64
tests/gcmulti_rand-10-30-10-2.param,10,30,10,2,0.67,1.75
tests/gcmulti_rand-10-30-10-3.param,10,30,10,3,0.67,1.92
tests/gcmulti_rand-10-30-10-4.param,10,30,10,4,0.72,1.6
tests/gcmulti_rand-20-40-8-2.param,20,40,8,2,0.68,3.56
tests/gcmulti_rand-20-40-12-3.param,20,40,12,3,0.77,7.2
tests/gcmulti_rand-20-40-16-4.param,20,40,16,4,0.83,11.92
tests/gcmulti_rand-20-40-10-2.param,20,40,10,2,0.68,5.21
tests/gcmulti_rand-20-40-15-3.param,20,40,15,3,0.73,10.56
tests/gcmulti_rand-20-40-20-4.param,20,40,20,4,0.73,18.48
tests/gcmulti_rand-20-60-8-2.param,20,60,8,2,0.72,5.3
tests/gcmulti_rand-20-60-12-3.param,20,60,12,3,0.78,9.86
tests/gcmulti_rand-20-60-16-4.param,20,60,16,4,0.77,17.15
tests/gcmulti_rand-20-60-10-2.param,20,60,10,2,0.68,7.19
tests/gcmulti_rand-20-60-15-3.param,20,60,15,3,0.77,15.22
tests/gcmulti_rand-20-60-20-4.param,20,60,20,4,0.78,27.45
tests/gcmulti_rand-20-80-8-2.param,20,80,8,2,0.67,10.73
tests/gcmulti_rand-20-80-12-3.param,20,80,12,3,60.01,60.01
tests/gcmulti_rand-20-80-16-4.param,20,80,16,4,60.01,60.01
tests/gcmulti_rand-20-80-10-2.param,20,80,10,2,60.02,60.0
tests/gcmulti_rand-20-80-15-3.param,20,80,15,3,60.01,60.0
tests/gcmulti_rand-20-80-20-4.param,20,80,20,4,34.63,41.3
tests/gcmulti_rand-20-100-8-2.param,20,100,8,2,0.73,11.03
tests/gcmulti_rand-20-100-12-3.param,20,100,12,3,9.39,29.4
tests/gcmulti_rand-20-100-16-4.param,20,100,16,4,60.01,60.01
tests/gcmulti_rand-20-100-10-2.param,20,100,10,2,0.72,59.99
tests/gcmulti_rand-20-100-15-3.param,20,100,15,3,0.77,60.0
