SpecName,nodes,edges,colours,coloursPerNode,NewSpec,OldSpec
tests/n10e20c8cpn2.param,10,20,8,2,2.06,1.26
tests/n10e20c10cpn3.param,10,20,10,3,0.83,1.44
tests/n10e20c10cpn4.param,10,20,10,4,0.66,2.14
tests/n10e20c10cpn2.param,10,20,10,2,0.67,1.32
tests/n10e20c10cpn3.param,10,20,10,3,10.5,3.17
tests/n10e20c10cpn4.param,10,20,10,4,0.84,1.58
tests/n10e25c8cpn2.param,10,25,8,2,0.68,1.23
tests/n10e25c10cpn3.param,10,25,10,3,5.59,19.24
tests/n10e25c10cpn4.param,10,25,10,4,0.73,1.55
tests/n10e25c10cpn2.param,10,25,10,2,0.66,1.48
tests/n10e25c10cpn3.param,10,25,10,3,0.68,1.7
tests/n10e25c10cpn4.param,10,25,10,4,0.67,1.48
tests/n10e30c8cpn2.param,10,30,8,2,0.72,1.38
tests/n10e30c10cpn3.param,10,30,10,3,0.78,1.66
tests/n10e30c10cpn4.param,10,30,10,4,0.67,1.65
tests/n10e30c10cpn2.param,10,30,10,2,0.67,TO
tests/n10e30c10cpn3.param,10,30,10,3,0.68,1.65
tests/n10e30c10cpn4.param,10,30,10,4,0.66,1.69
tests/n10e35c8cpn2.param,10,35,8,2,0.67,1.39
tests/n10e35c10cpn3.param,10,35,10,3,0.66,1.82
tests/n10e35c10cpn4.param,10,35,10,4,0.78,1.8
tests/n10e35c10cpn2.param,10,35,10,2,0.67,1.77
tests/n10e35c10cpn3.param,10,35,10,3,0.68,1.75
tests/n10e35c10cpn4.param,10,35,10,4,0.68,1.76
tests/n10e40c8cpn2.param,10,40,8,2,0.68,1.49
tests/n10e40c10cpn3.param,10,40,10,3,0.72,2.24
tests/n10e40c10cpn4.param,10,40,10,4,0.72,2.49
tests/n10e40c10cpn2.param,10,40,10,2,0.78,2.94
tests/n10e40c10cpn3.param,10,40,10,3,0.72,1.88
tests/n10e40c10cpn4.param,10,40,10,4,0.67,1.97
tests/n10e45c8cpn2.param,10,45,8,2,0.68,1.54
tests/n10e45c10cpn3.param,10,45,10,3,0.67,1.98
tests/n10e45c10cpn4.param,10,45,10,4,0.67,1.98
tests/n10e45c10cpn2.param,10,45,10,2,0.67,2.04
tests/n10e45c10cpn3.param,10,45,10,3,0.68,1.96
tests/n10e45c10cpn4.param,10,45,10,4,0.73,1.98
tests/n10e50c8cpn2.param,10,50,8,2,0.67,1.5
tests/n10e50c10cpn3.param,10,50,10,3,0.67,1.98
tests/n10e50c10cpn4.param,10,50,10,4,0.73,1.98
tests/n10e50c10cpn2.param,10,50,10,2,0.67,2.04
tests/n10e50c10cpn3.param,10,50,10,3,0.66,1.98
tests/n10e50c10cpn4.param,10,50,10,4,0.68,1.98
tests/n10e55c8cpn2.param,10,55,8,2,0.71,1.62
tests/n10e55c10cpn3.param,10,55,10,3,0.72,1.96
tests/n10e55c10cpn4.param,10,55,10,4,0.72,1.97
tests/n10e55c10cpn2.param,10,55,10,2,0.68,2.04
tests/n10e55c10cpn3.param,10,55,10,3,0.65,1.98
tests/n10e55c10cpn4.param,10,55,10,4,0.72,1.97
tests/n10e60c8cpn2.param,10,60,8,2,0.67,1.53
tests/n10e60c10cpn3.param,10,60,10,3,0.71,1.97
tests/n10e60c10cpn4.param,10,60,10,4,0.68,1.94
tests/n10e60c10cpn2.param,10,60,10,2,0.67,2.02
tests/n10e60c10cpn3.param,10,60,10,3,0.72,1.96
tests/n10e60c10cpn4.param,10,60,10,4,0.73,2.0
tests/n10e65c8cpn2.param,10,65,8,2,0.66,1.53
tests/n10e65c10cpn3.param,10,65,10,3,0.72,1.93
tests/n10e65c10cpn4.param,10,65,10,4,0.68,1.94
tests/n10e65c10cpn2.param,10,65,10,2,0.68,2.15
tests/n10e65c10cpn3.param,10,65,10,3,0.67,1.99
tests/n10e65c10cpn4.param,10,65,10,4,0.73,1.98
tests/n10e70c8cpn2.param,10,70,8,2,0.73,1.6
tests/n10e70c10cpn3.param,10,70,10,3,0.72,2.02
tests/n10e70c10cpn4.param,10,70,10,4,0.67,1.92
tests/n10e70c10cpn2.param,10,70,10,2,0.68,2.05
tests/n10e70c10cpn3.param,10,70,10,3,0.68,1.98
tests/n10e70c10cpn4.param,10,70,10,4,0.72,1.98
tests/n10e75c8cpn2.param,10,75,8,2,0.67,1.54
tests/n10e75c10cpn3.param,10,75,10,3,0.72,2.16
tests/n10e75c10cpn4.param,10,75,10,4,0.84,2.04
tests/n10e75c10cpn2.param,10,75,10,2,0.67,2.04
tests/n10e75c10cpn3.param,10,75,10,3,0.68,1.97
tests/n10e75c10cpn4.param,10,75,10,4,0.73,1.93
tests/n20e80c8cpn2.param,20,80,8,2,0.67,10.42
tests/n20e80c12cpn3.param,20,80,12,3,22.15,TO
tests/n20e80c16cpn4.param,20,80,16,4,TO,TO
tests/n20e80c10cpn2.param,20,80,10,2,0.77,9.43
tests/n20e80c15cpn3.param,20,80,15,3,0.77,21.64
tests/n20e80c20cpn4.param,20,80,20,4,TO,TO
tests/n20e100c8cpn2.param,20,100,8,2,0.73,7.84
tests/n20e100c12cpn3.param,20,100,12,3,0.73,TO
tests/n20e100c16cpn4.param,20,100,16,4,TO,TO
tests/n20e100c10cpn2.param,20,100,10,2,7.91,TO
tests/n20e100c15cpn3.param,20,100,15,3,TO,TO
tests/n20e100c20cpn4.param,20,100,20,4,TO,TO
tests/n20e120c8cpn2.param,20,120,8,2,0.83,9.29
tests/n20e120c12cpn3.param,20,120,12,3,0.83,TO
tests/n20e120c16cpn4.param,20,120,16,4,0.84,TO
tests/n20e120c10cpn2.param,20,120,10,2,0.78,TO
tests/n20e120c15cpn3.param,20,120,15,3,0.89,TO
tests/n20e120c20cpn4.param,20,120,20,4,TO,TO
tests/n20e140c8cpn2.param,20,140,8,2,0.88,12.65
tests/n20e140c12cpn3.param,20,140,12,3,0.78,TO
tests/n20e140c16cpn4.param,20,140,16,4,0.88,TO
tests/n20e140c10cpn2.param,20,140,10,2,0.77,34.87
tests/n20e140c15cpn3.param,20,140,15,3,0.77,TO
tests/n20e140c20cpn4.param,20,140,20,4,1.11,TO
tests/n20e160c8cpn2.param,20,160,8,2,0.83,14.08
tests/n20e160c12cpn3.param,20,160,12,3,0.78,27.25
tests/n20e160c16cpn4.param,20,160,16,4,0.84,TO
tests/n20e160c10cpn2.param,20,160,10,2,0.89,19.16
tests/n20e160c15cpn3.param,20,160,15,3,0.78,TO
tests/n20e160c20cpn4.param,20,160,20,4,0.84,TO
tests/n20e180c8cpn2.param,20,180,8,2,0.89,13.79
tests/n20e180c12cpn3.param,20,180,12,3,0.78,31.45
tests/n20e180c16cpn4.param,20,180,16,4,0.89,TO
tests/n20e180c10cpn2.param,20,180,10,2,0.88,22.02
tests/n20e180c15cpn3.param,20,180,15,3,0.87,TO
tests/n20e180c20cpn4.param,20,180,20,4,1.22,TO
tests/n20e200c8cpn2.param,20,200,8,2,0.83,14.83
tests/n20e200c12cpn3.param,20,200,12,3,0.78,33.94
tests/n20e200c16cpn4.param,20,200,16,4,0.83,TO
tests/n20e200c10cpn2.param,20,200,10,2,0.94,24.57
tests/n20e200c15cpn3.param,20,200,15,3,0.78,TO
tests/n20e200c20cpn4.param,20,200,20,4,1.03,TO
tests/n20e220c8cpn2.param,20,220,8,2,1.03,14.65
tests/n20e220c12cpn3.param,20,220,12,3,0.78,32.74
tests/n20e220c16cpn4.param,20,220,16,4,0.84,TO
tests/n20e220c10cpn2.param,20,220,10,2,0.84,24.23
tests/n20e220c15cpn3.param,20,220,15,3,0.97,TO
tests/n20e220c20cpn4.param,20,220,20,4,0.99,TO
tests/n20e240c8cpn2.param,20,240,8,2,0.87,16.7
tests/n20e240c12cpn3.param,20,240,12,3,0.87,33.45
tests/n20e240c16cpn4.param,20,240,16,4,0.83,TO
tests/n20e240c10cpn2.param,20,240,10,2,0.84,23.44
tests/n20e240c15cpn3.param,20,240,15,3,0.78,TO
tests/n20e240c20cpn4.param,20,240,20,4,1.13,TO
tests/n20e260c8cpn2.param,20,260,8,2,0.92,15.27
tests/n20e260c12cpn3.param,20,260,12,3,0.82,33.9
tests/n20e260c16cpn4.param,20,260,16,4,0.78,TO
