Path,nodes,edges,colours,coloursPerNode,NewSpec2,OldSpec2,,SpecName,OldTimeOut,BothTimeOut,NewSpec,OldSpec
tests/n10e20c8cpn2.param,10,20,8,2,2.6,2.33,n10e20c8cpn2.param,n10e20c8cpn2,,,2.6,2.33
tests/n10e20c10cpn3.param,10,20,10,3,1.68,3.14,n10e20c10cpn3.param,n10e20c10cpn3,,,1.68,3.14
tests/n10e20c10cpn4.param,10,20,10,4,2.13,4.97,n10e20c10cpn4.param,n10e20c10cpn4,,,2.13,4.97
tests/n10e20c10cpn2.param,10,20,10,2,1.68,2.34,n10e20c10cpn2.param,n10e20c10cpn2,,,2.6,2.34
tests/n10e20c10cpn3.param,10,20,10,3,1.78,2.28,n10e20c10cpn3.param,n10e20c10cpn3,,,1.78,2.28
tests/n10e20c10cpn4.param,10,20,10,4,2.13,3.95,n10e20c10cpn4.param,n10e20c10cpn4,,,2.13,3.95
tests/n10e25c8cpn2.param,10,25,8,2,1.78,2.35,n10e25c8cpn2.param,n10e25c8cpn2,,,1.78,2.35
tests/n10e25c10cpn3.param,10,25,10,3,3.13,15.89,n10e25c10cpn3.param,n10e25c10cpn3,,,3.13,15.89
tests/n10e25c10cpn4.param,10,25,10,4,2.44,2.38,n10e25c10cpn4.param,n10e25c10cpn4,,,2.44,2.38
tests/n10e25c10cpn2.param,10,25,10,2,1.63,2.69,n10e25c10cpn2.param,n10e25c10cpn2,,,1.63,2.69
tests/n10e25c10cpn3.param,10,25,10,3,1.83,3.44,n10e25c10cpn3.param,n10e25c10cpn3,,,1.83,3.44
tests/n10e25c10cpn4.param,10,25,10,4,2.19,2.48,n10e25c10cpn4.param,n10e25c10cpn4,,,2.19,2.48
tests/n10e30c8cpn2.param,10,30,8,2,1.58,2.28,n10e30c8cpn2.param,n10e30c8cpn2,,,1.58,2.28
tests/n10e30c10cpn3.param,10,30,10,3,1.78,4.66,n10e30c10cpn3.param,n10e30c10cpn3,,,1.78,4.66
tests/n10e30c10cpn4.param,10,30,10,4,1.83,2.54,n10e30c10cpn4.param,n10e30c10cpn4,,,1.83,2.54
tests/n10e30c10cpn2.param,10,30,10,2,1.68,2.53,n10e30c10cpn2.param,n10e30c10cpn2,,,1.68,2.53
tests/n10e30c10cpn3.param,10,30,10,3,2.41,4.55,n10e30c10cpn3.param,n10e30c10cpn3,,,2.41,4.55
tests/n10e30c10cpn4.param,10,30,10,4,1.84,2.44,n10e30c10cpn4.param,n10e30c10cpn4,,,1.84,2.44
tests/n10e35c8cpn2.param,10,35,8,2,1.59,3.17,n10e35c8cpn2.param,n10e35c8cpn2,,,1.59,3.17
tests/n10e35c10cpn3.param,10,35,10,3,2.29,2.98,n10e35c10cpn3.param,n10e35c10cpn3,,,2.29,2.98
tests/n10e35c10cpn4.param,10,35,10,4,1.78,2.43,n10e35c10cpn4.param,n10e35c10cpn4,,,1.78,2.43
tests/n10e35c10cpn2.param,10,35,10,2,1.63,5.58,n10e35c10cpn2.param,n10e35c10cpn2,,,1.63,5.58
tests/n10e35c10cpn3.param,10,35,10,3,1.73,3.24,n10e35c10cpn3.param,n10e35c10cpn3,,,1.73,3.24
tests/n10e35c10cpn4.param,10,35,10,4,1.84,2.83,n10e35c10cpn4.param,n10e35c10cpn4,,,1.84,2.83
tests/n10e40c8cpn2.param,10,40,8,2,2.55,2.48,n10e40c8cpn2.param,n10e40c8cpn2,,,2.55,2.48
tests/n10e40c10cpn3.param,10,40,10,3,1.73,3.54,n10e40c10cpn3.param,n10e40c10cpn3,,,1.73,3.54
tests/n10e40c10cpn4.param,10,40,10,4,1.88,4.08,n10e40c10cpn4.param,n10e40c10cpn4,,,1.88,4.08
tests/n10e40c10cpn2.param,10,40,10,2,1.68,3.03,n10e40c10cpn2.param,n10e40c10cpn2,,,1.68,3.03
tests/n10e40c10cpn3.param,10,40,10,3,1.68,2.69,n10e40c10cpn3.param,n10e40c10cpn3,,,1.68,2.69
tests/n10e40c10cpn4.param,10,40,10,4,2.79,3.09,n10e40c10cpn4.param,n10e40c10cpn4,,,2.79,3.09
tests/n10e45c8cpn2.param,10,45,8,2,1.63,2.54,n10e45c8cpn2.param,n10e45c8cpn2,,,1.63,2.54
tests/n10e45c10cpn3.param,10,45,10,3,1.74,2.94,n10e45c10cpn3.param,n10e45c10cpn3,,,1.74,2.94
tests/n10e45c10cpn4.param,10,45,10,4,2.85,2.68,n10e45c10cpn4.param,n10e45c10cpn4,,,2.85,2.68
tests/n10e45c10cpn2.param,10,45,10,2,1.58,2.78,n10e45c10cpn2.param,n10e45c10cpn2,,,1.58,2.78
tests/n10e45c10cpn3.param,10,45,10,3,1.93,4.04,n10e45c10cpn3.param,n10e45c10cpn3,,,1.93,4.04
tests/n10e45c10cpn4.param,10,45,10,4,1.95,2.69,n10e45c10cpn4.param,n10e45c10cpn4,,,1.95,2.69
tests/n10e50c8cpn2.param,10,50,8,2,1.58,2.48,n10e50c8cpn2.param,n10e50c8cpn2,,,1.58,2.48
tests/n10e50c10cpn3.param,10,50,10,3,1.9,3.77,n10e50c10cpn3.param,n10e50c10cpn3,,,1.9,3.77
tests/n10e50c10cpn4.param,10,50,10,4,1.88,2.68,n10e50c10cpn4.param,n10e50c10cpn4,,,1.88,2.68
tests/n10e50c10cpn2.param,10,50,10,2,1.59,3.29,n10e50c10cpn2.param,n10e50c10cpn2,,,1.59,3.29
tests/n10e50c10cpn3.param,10,50,10,3,2.86,2.59,n10e50c10cpn3.param,n10e50c10cpn3,,,2.86,2.59
tests/n10e50c10cpn4.param,10,50,10,4,1.79,2.64,n10e50c10cpn4.param,n10e50c10cpn4,,,1.79,2.64
tests/n10e55c8cpn2.param,10,55,8,2,1.63,3.51,n10e55c8cpn2.param,n10e55c8cpn2,,,1.63,3.51
tests/n10e55c10cpn3.param,10,55,10,3,2.34,2.78,n10e55c10cpn3.param,n10e55c10cpn3,,,2.34,2.78
tests/n10e55c10cpn4.param,10,55,10,4,1.84,2.63,n10e55c10cpn4.param,n10e55c10cpn4,,,1.84,2.63
tests/n10e55c10cpn2.param,10,55,10,2,1.58,4.56,n10e55c10cpn2.param,n10e55c10cpn2,,,1.58,4.56
tests/n10e55c10cpn3.param,10,55,10,3,1.93,2.63,n10e55c10cpn3.param,n10e55c10cpn3,,,1.93,2.63
tests/n10e55c10cpn4.param,10,55,10,4,1.83,2.69,n10e55c10cpn4.param,n10e55c10cpn4,,,1.83,2.69
tests/n10e60c8cpn2.param,10,60,8,2,2.5,3.1,n10e60c8cpn2.param,n10e60c8cpn2,,,2.5,3.1
tests/n10e60c10cpn3.param,10,60,10,3,1.73,2.64,n10e60c10cpn3.param,n10e60c10cpn3,,,1.73,2.64
tests/n10e60c10cpn4.param,10,60,10,4,1.83,2.86,n10e60c10cpn4.param,n10e60c10cpn4,,,1.83,2.86
tests/n10e60c10cpn2.param,10,60,10,2,2.54,2.93,n10e60c10cpn2.param,n10e60c10cpn2,,,2.54,2.93
tests/n10e60c10cpn3.param,10,60,10,3,1.74,2.85,n10e60c10cpn3.param,n10e60c10cpn3,,,1.74,2.85
tests/n10e60c10cpn4.param,10,60,10,4,1.83,4.12,n10e60c10cpn4.param,n10e60c10cpn4,,,1.83,4.12
tests/n10e65c8cpn2.param,10,65,8,2,1.64,2.54,n10e65c8cpn2.param,n10e65c8cpn2,,,1.64,2.54
tests/n10e65c10cpn3.param,10,65,10,3,1.78,2.63,n10e65c10cpn3.param,n10e65c10cpn3,,,1.78,2.63
tests/n10e65c10cpn4.param,10,65,10,4,2.04,3.65,n10e65c10cpn4.param,n10e65c10cpn4,,,2.04,3.65
tests/n10e65c10cpn2.param,10,65,10,2,1.58,2.94,n10e65c10cpn2.param,n10e65c10cpn2,,,1.58,2.94
tests/n10e65c10cpn3.param,10,65,10,3,1.73,2.85,n10e65c10cpn3.param,n10e65c10cpn3,,,1.73,2.85
tests/n10e65c10cpn4.param,10,65,10,4,2.99,2.64,n10e65c10cpn4.param,n10e65c10cpn4,,,2.99,2.64
tests/n10e70c8cpn2.param,10,70,8,2,1.68,2.48,n10e70c8cpn2.param,n10e70c8cpn2,,,1.68,2.48
tests/n10e70c10cpn3.param,10,70,10,3,1.73,3.88,n10e70c10cpn3.param,n10e70c10cpn3,,,1.73,3.88
tests/n10e70c10cpn4.param,10,70,10,4,2.3,2.58,n10e70c10cpn4.param,n10e70c10cpn4,,,2.3,2.58
tests/n10e70c10cpn2.param,10,70,10,2,1.54,2.88,n10e70c10cpn2.param,n10e70c10cpn2,,,1.54,2.88
tests/n10e70c10cpn3.param,10,70,10,3,1.79,4.38,n10e70c10cpn3.param,n10e70c10cpn3,,,1.79,4.38
tests/n10e70c10cpn4.param,10,70,10,4,1.88,2.74,n10e70c10cpn4.param,n10e70c10cpn4,,,1.88,2.74
tests/n10e75c8cpn2.param,10,75,8,2,1.58,2.58,n10e75c8cpn2.param,n10e75c8cpn2,,,1.58,2.58
tests/n10e75c10cpn3.param,10,75,10,3,2.28,3.34,n10e75c10cpn3.param,n10e75c10cpn3,,,2.28,3.34
tests/n10e75c10cpn4.param,10,75,10,4,1.93,2.58,n10e75c10cpn4.param,n10e75c10cpn4,,,1.93,2.58
tests/n10e75c10cpn2.param,10,75,10,2,1.63,3.19,n10e75c10cpn2.param,n10e75c10cpn2,,,1.63,3.19
